mean_fg_dice,ema_fg_dice,dice_per_class_or_region,train_losses,val_losses,lrs,epoch_start_timestamps,epoch_end_timestamps,Epoch
0.8058296131950581,0.8058296131950581,"[0.8101775530465701, 0.801481673343546]",-0.25419223,-0.7379763,0.01,1730669457.8064864,1730669483.4943392,0
0.8519680028597629,0.8104434521615286,"[0.8562103080879652, 0.8477256976315606]",-0.75911736,-0.80105,0.009990999549834914,1730669484.8230302,1730669490.6823316,1
0.8640405647445198,0.8158031634198277,"[0.8722097242307618, 0.8558714052582779]",-0.7925097,-0.8190207,0.009981998198678612,1730669492.051075,1730669498.299389,2
0.8647097372021842,0.8206938207980634,"[0.8728994591322606, 0.8565200152721079]",-0.8072866,-0.8220351,0.009972995945537971,1730669499.9291,1730669506.5132365,3
0.8738358028799469,0.8260080190062518,"[0.8817708034520801, 0.8659008023078135]",-0.81547195,-0.8329572,0.00996399278941777,1730669508.1067495,1730669514.712298,4
0.8771506466960854,0.8311222817752352,"[0.8848599550205396, 0.8694413383716313]",-0.8241953,-0.8386198,0.00995498872932069,1730669516.3194947,1730669522.982426,5
0.8725684083366123,0.8352668944313729,"[0.8782540763565143, 0.8668827403167104]",-0.8282859,-0.8331475,0.009945983764247315,1730669524.5136964,1730669530.6825554,6
0.8766618837688477,0.8394063933651205,"[0.8846005352288474, 0.868723232308848]",-0.8307267,-0.837946,0.009936977893196107,1730669531.7692814,1730669537.9859574,7
0.8723398281774861,0.842699736846357,"[0.8790652999051596, 0.8656143564498125]",-0.8356615,-0.83333397,0.009927971115163414,1730669539.5710635,1730669545.804248,8
0.880829078092727,0.846512670970994,"[0.8869324431817044, 0.8747257130037498]",-0.8374142,-0.8425203,0.009918963429143463,1730669546.9311202,1730669553.2869177,9
0.8804526673209485,0.8499066706059896,"[0.8894310792647181, 0.871474255377179]",-0.8408097,-0.8421122,0.009909954834128341,1730669554.3342073,1730669560.4767463,10
0.8818145311764473,0.8530974566630353,"[0.8895052765018686, 0.8741237858510259]",-0.8427588,-0.8447205,0.00990094532910801,1730669562.0962842,1730669568.407855,11
0.8791299044923206,0.8557007014459638,"[0.8897451544398121, 0.8685146545448292]",-0.84414357,-0.84147704,0.00989193491307027,1730669569.4962363,1730669576.2812674,12
0.8838479702806472,0.8585154283294321,"[0.891559129076557, 0.8761368114847375]",-0.8452519,-0.84804314,0.009882923585000784,1730669577.3504093,1730669582.744519,13
0.8840184206723958,0.8610657275637285,"[0.8916160053204469, 0.8764208360243447]",-0.8501561,-0.84731096,0.00987391134388305,1730669583.8377123,1730669589.5983362,14
0.8803892683252573,0.8629980816398815,"[0.8876319461415362, 0.8731465905089785]",-0.85012347,-0.8439617,0.009864898188698403,1730669590.7435663,1730669596.9357378,15
0.883714421726475,0.8650697156485408,"[0.8913130727770718, 0.8761157706758781]",-0.85111916,-0.8466751,0.009855884118426006,1730669598.556691,1730669604.705901,16
0.8850433446768585,0.8670670785513725,"[0.8941065465271103, 0.8759801428266067]",-0.8501262,-0.8488382,0.00984686913204284,1730669605.8036468,1730669611.7134066,17
0.8801435646793458,0.86837472716417,"[0.887694855905302, 0.8725922734533897]",-0.8532019,-0.8433521,0.009837853228523706,1730669612.839548,1730669619.0296926,18
0.8865014548071866,0.8701873999284717,"[0.8937537484921796, 0.8792491611221936]",-0.8540562,-0.85175943,0.009828836406841207,1730669620.6614137,1730669626.8561704,19
0.8864073832572444,0.8718093982613491,"[0.8934780330853522, 0.8793367334291367]",-0.8548214,-0.85001445,0.009819818665965752,1730669628.4898472,1730669634.4358513,20
0.8891842417871998,0.8735468826139342,"[0.8977194869992086, 0.8806489965751911]",-0.85430664,-0.8526668,0.00981080000486554,1730669635.5736046,1730669641.284722,21
0.8833636600717446,0.8745285603597153,"[0.89016210361537, 0.8765652165281193]",-0.85814035,-0.84555453,0.009801780422506557,1730669642.7941442,1730669649.0652688,22
