run_id,budget,config_id,o0_loss,o0_loss_fold_0,o0_loss_fold_1,o0_loss_fold_2,o0_loss_fold_3,o0_loss_fold_4,hp_config.aug_factor,hp_config.initial_lr,hp_config.loss_function,hp_config.lr_scheduler,hp_config.optimizer,hp_config.oversample_foreground_percent,hp_config.weight_decay,hp_config.momentum
0,1000.0,0,0.10958638580882829,0.10775440069709652,0.1134596515985884,0.10985721142801053,0.10963335294957666,0.10722731237086935,1.0,0.01,DiceAndCrossEntropyLoss,PolyLRScheduler,SGD,0.33,3e-05,0.99
1,12.345679012345677,1,0.1260702470291754,0.12407042377314514,0.1238165493724328,0.12559733608990964,0.12809013005348135,0.12877679585690804,1.150324556477333,0.014685885989200861,TopKLoss,None,Adam,0.8360787635373775,2.2365810539197582e-05,0.7408352423773917
2,12.345679012345677,2,0.1198318752133625,0.1188000503726061,0.12833693994765427,0.11959355503428637,0.11810242059901721,0.11432641011324851,1.1047246195216438,0.06739390723749773,TopKLoss,PolyLRScheduler,SGD,0.8009107519796442,0.00012075633351351945,0.9843244174117328
3,12.345679012345677,3,0.16026744147517352,0.15870474767636145,0.16304375356659717,0.15965888127165995,0.1614108428068799,0.1585189820543691,2.1618979641777503,0.002128527023531731,DiceAndCrossEntropyLoss,PolyLRScheduler,SGD,0.4736004193466574,5.563260205698563e-06,0.7175220521771902
4,12.345679012345677,4,0.11673288013761929,0.11630339731524342,0.11822777429546238,0.12087042963104633,0.11617557490083197,0.11208722454551234,2.04546089731045,0.00027417736752420927,DiceLoss,CosineAnnealingLR,Adam,0.9698090677467488,0.00040978885541880585,0.8103540206437224
5,12.345679012345677,5,0.999439997916024,0.9996219090836971,0.9993533759272342,0.9993072584328326,0.999302889465631,0.999614556670725,0.3061344322440842,6.847105576684049e-05,TopKLoss,PolyLRScheduler,SGD,0.4143685882263688,7.921182314424576e-05,0.7857627151436279
6,12.345679012345677,6,0.11863069596583446,0.11566071608307271,0.12022769654414422,0.11961674772267905,0.12119834740020408,0.11644997207907226,0.2913038273791838,0.02247913678489981,CrossEntropyLoss,PolyLRScheduler,AdamW,0.5096243767199001,1.6705472923532205e-06,0.9828546794612383
7,12.345679012345677,7,0.1109729370503592,0.11044453622768713,0.11712713285880838,0.1089062073284357,0.11261044727227199,0.1057763615645928,0.6504664128826286,0.001822869029807343,DiceLoss,CosineAnnealingLR,AdamW,0.09394051075844168,0.0002012732142826837,0.7111541935713871
8,12.345679012345677,8,0.11449300651866509,0.11726584230315495,0.12106240357683928,0.11358176207694148,0.11417945122445061,0.10637557341193915,1.1735378233752793,0.0008302844962547875,DiceAndCrossEntropyLoss,PolyLRScheduler,Adam,0.2362856645784429,2.527514489489815e-05,0.90263731911568
9,12.345679012345677,9,0.11962646874285499,0.12059608794025767,0.1215423074377402,0.1200737718882372,0.11903939104712125,0.11688078540091862,0.3486057288371832,0.011697547414781285,DiceAndCrossEntropyLoss,CosineAnnealingLR,SGD,0.5812728726358587,0.0033646620317025026,0.79800193014111
10,12.345679012345677,10,0.17728274632904378,0.3692664033087336,0.15518738103611351,0.11526636209305285,0.136256375490589,0.11043720971672988,1.0313318628889958,0.018227532147560618,DiceAndCrossEntropyLoss,PolyLRScheduler,AdamW,0.10709001524266218,2.902501116998957e-06,0.9433819401958
11,12.345679012345677,11,0.12558507026963825,0.12042176628687562,0.12605471689938097,0.125712116842142,0.12461314285018465,0.13112360846960802,0.9730181826411534,0.04745215558646006,CrossEntropyLoss,CosineAnnealingLR,AdamW,0.48953364903402674,0.008715504353417761,0.7475315629383502
12,12.345679012345677,12,0.11277599564431093,0.1131885639038146,0.11629690348508759,0.11356565205661306,0.11123563556919702,0.1095932232068424,0.23481097609784662,0.01660785112321388,DiceAndCrossEntropyLoss,CosineAnnealingLR,AdamW,0.6070630346753698,1.192355468547657e-06,0.9692415425861539
13,12.345679012345677,13,0.13673946386079927,0.16225693366776284,0.1327453626358177,0.12993397401697426,0.138393486067518,0.12036756291592354,1.0199583898823463,0.04275837824614824,TopKLoss,PolyLRScheduler,Adam,0.3581914886256743,1.9224271939243424e-06,0.9089503187856456
14,12.345679012345677,14,0.12338948101578287,0.12314707537643488,0.12718498855294758,0.12282414166292521,0.12182152401525004,0.12196967547135662,0.6371714966709258,7.75841305486524e-05,DiceAndCrossEntropyLoss,PolyLRScheduler,Adam,0.4904588086175671,8.121916343315396e-06,0.741619663985853
15,12.345679012345677,15,0.14923512535551348,0.1455973894307816,0.15481912996597824,0.14739720391501865,0.15543309057240207,0.14292881289338677,2.563840740932143,0.009447962943638519,CrossEntropyLoss,PolyLRScheduler,SGD,0.8966712930403421,0.009148624225979639,0.7989096512811791
16,12.345679012345677,16,0.11574692922092031,0.11643106073257448,0.11746808366466865,0.11522030082270818,0.11541765215479027,0.11419754872985999,0.974048916199396,0.0011990706551773744,DiceLoss,PolyLRScheduler,Adam,0.8853376596095855,0.0005242251173989866,0.6042205677830779
17,12.345679012345677,17,0.9662129813683029,0.966381107085473,0.9659196218964973,0.9657118722322311,0.9660996526913814,0.9669526529359309,0.07698815416359472,6.758966622072009e-05,DiceLoss,CosineAnnealingLR,SGD,0.21488073675057817,5.56971378015024e-06,0.6478042764098841
18,12.345679012345677,18,0.9347512135769923,0.9347693483145678,0.9332613109219179,0.9344592356826675,0.9347718737784869,0.9364942991873212,0.5498395086422359,3.796566727868298e-05,DiceAndCrossEntropyLoss,None,SGD,0.030452964941600325,0.0009726956211749134,0.6395368703816673
