mean_fg_dice,ema_fg_dice,dice_per_class_or_region,train_losses,val_losses,lrs,epoch_start_timestamps,epoch_end_timestamps,Epoch
0.0,0.0,"[0.0, 0.0]",0.14930545,0.15673813,0.01,1730697417.774283,1730697481.3628604,0
0.17009646870822234,0.017009646870822234,"[0.3401929374164447, 0.0]",0.028767696,-0.06961511,0.009990999549834914,1730697482.6634655,1730697508.8289063,1
0.3319545999322471,0.04850414217696472,"[0.457236570075963, 0.20667262978853113]",-0.08888814,-0.14815345,0.009981998198678612,1730697510.4081326,1730697536.6206114,2
0.4417832404200351,0.08783205200127175,"[0.5026760917097447, 0.38089038913032547]",-0.18244655,-0.21878016,0.009972995945537971,1730697538.2663114,1730697562.9504883,3
0.4385766603594382,0.12290651283708841,"[0.46586957376528093, 0.41128374695359554]",-0.23550783,-0.24683174,0.00996399278941777,1730697564.5349064,1730697589.169248,4
0.47589630589799053,0.15820549214317864,"[0.5211677888156819, 0.43062482298029914]",-0.23131633,-0.2297755,0.00995498872932069,1730697590.931569,1730697616.1458404,5
0.4894042114177517,0.19132536407063594,"[0.5298749025590578, 0.4489335202764456]",-0.26066387,-0.26195088,0.009945983764247315,1730697617.7721334,1730697642.026743,6
0.57141642807171,0.22933447047074335,"[0.5730896840190256, 0.5697431721243945]",-0.23948258,-0.35125813,0.009936977893196107,1730697643.6072927,1730697667.544823,7
0.4029541417804165,0.24669643760171067,"[0.5283623180468766, 0.2775459655139564]",-0.2976784,-0.22893353,0.009927971115163414,1730697669.0714965,1730697694.2480788,8
0.4781782715002787,0.2698446209915675,"[0.5475981665646252, 0.4087583764359322]",-0.27569264,-0.2991442,0.009918963429143463,1730697695.886626,1730697720.410939,9
0.544331341409291,0.29729329303333984,"[0.5816686585443226, 0.5069940242742592]",-0.29293036,-0.34138736,0.009909954834128341,1730697722.0332794,1730697747.493799,10
0.51722069301428,0.3192860330314339,"[0.5575030057414798, 0.4769383802870801]",-0.31791848,-0.3290679,0.00990094532910801,1730697749.830709,1730697775.1297328,11
0.5319830422238637,0.34055573395067684,"[0.5547898278100448, 0.5091762566376826]",-0.32040504,-0.30653888,0.00989193491307027,1730697776.8253446,1730697802.2232866,12
0.5501458540243334,0.36151474595804256,"[0.5609938444285656, 0.539297863620101]",-0.325401,-0.38158005,0.009882923585000784,1730697803.743764,1730697829.2570963,13
0.5553917562884487,0.38090244699108317,"[0.6169784080696987, 0.49380510450719883]",-0.3371476,-0.33354568,0.00987391134388305,1730697830.7685204,1730697855.3945827,14
0.5802882925290973,0.4008410315448846,"[0.5671272736840469, 0.5934493113741478]",-0.3410807,-0.37581924,0.009864898188698403,1730697857.0180476,1730697881.7552557,15
0.5978594773752235,0.4205428761279185,"[0.5744489435822475, 0.6212700111681994]",-0.34477058,-0.35283956,0.009855884118426006,1730697883.3355303,1730697909.052612,16
0.49401557535527924,0.4278901460506546,"[0.567067401882483, 0.4209637488280755]",-0.3501465,-0.31541085,0.00984686913204284,1730697910.6395092,1730697935.0803857,17
0.5476894559396912,0.43987007703955827,"[0.5736060948587216, 0.5217728170206609]",-0.35509637,-0.3623885,0.009837853228523706,1730697936.6520376,1730697963.3166878,18
0.6214073198196752,0.45802380131757,"[0.6061816190070143, 0.6366330206323363]",-0.40303972,-0.4263073,0.009828836406841207,1730697964.85436,1730697990.3783686,19
0.6413058402874072,0.47635200521455373,"[0.6023386827386558, 0.6802729978361587]",-0.4023499,-0.3858104,0.009819818665965752,1730697991.9351206,1730698018.0776346,20
0.5943654441426578,0.48815334910736413,"[0.6116245917818164, 0.5771062965034991]",-0.38712385,-0.32938808,0.00981080000486554,1730698019.655651,1730698045.0310037,21
0.6068076646159406,0.5000187806582218,"[0.588018340622167, 0.6255969886097141]",-0.4131112,-0.37749612,0.009801780422506557,1730698046.587096,1730698072.2880683,22
0.5631775215086465,0.5063346547432643,"[0.5814403746753432, 0.5449146683419498]",-0.36526287,-0.27505872,0.009792759917852568,1730698073.8882813,1730698097.6368911,23
0.6168715676703628,0.5173883460359742,"[0.6057806062723532, 0.6279625290683724]",-0.3861047,-0.42375556,0.009783738489865112,1730698099.1202939,1730698126.4956982,24
0.6188314385186636,0.5275326552842431,"[0.5743540460027724, 0.6633088310345548]",-0.42586458,-0.42639926,0.009774716137503496,1730698128.0631933,1730698152.4099095,25
0.6759315333596315,0.542372543091782,"[0.5705479286197217, 0.7813151380995413]",-0.39669573,-0.4677296,0.009765692859724779,1730698153.902196,1730698178.509439,26
0.47443920024315744,0.5355792088069196,"[0.5485676943600919, 0.400310706126223]",-0.37243983,-0.30839837,0.009756668655483776,1730698180.0211453,1730698205.1190562,27
0.6495231012676322,0.5469735980529908,"[0.6091837742305375, 0.689862428304727]",-0.38006976,-0.47264534,0.009747643523733043,1730698206.778171,1730698231.3106694,28
0.6249626937326997,0.5547725076209618,"[0.5759516975970694, 0.67397368986833]",-0.4336308,-0.39625233,0.009738617463422878,1730698232.807665,1730698255.5719323,29
0.6849639859786425,0.5677916554567298,"[0.6162565019675733, 0.7536714699897116]",-0.42026863,-0.44736838,0.009729590473501306,1730698257.098111,1730698280.5863645,30
0.6008749671774853,0.5710999866288053,"[0.5644798955879231, 0.6372700387670476]",-0.42310596,-0.44175613,0.009720562552914069,1730698282.989127,1730698307.961885,31
0.6468177200146232,0.5786717599673872,"[0.6382375062946446, 0.6553979337346019]",-0.41734403,-0.42285934,0.009711533700604631,1730698309.4237592,1730698333.099088,32
0.6982915450181426,0.5906337384724627,"[0.6236264729027702, 0.7729566171335149]",-0.43263313,-0.48990974,0.009702503915514164,1730698334.6273394,1730698360.8738112,33
0.6435641655282522,0.5959267811780417,"[0.6025663384544654, 0.684561992602039]",-0.41564566,-0.41446313,0.009693473196581535,1730698362.6450217,1730698387.9750123,34
0.6597061923273633,0.6023047222929738,"[0.5992168937302749, 0.7201954909244517]",-0.45845562,-0.4584691,0.009684441542743309,1730698389.512477,1730698412.9197347,35
0.6956266713709822,0.6116369172007747,"[0.5906247452742825, 0.8006285974676819]",-0.44657433,-0.495465,0.009675408952933734,1730698414.5013525,1730698438.5665867,36
0.6738015508324806,0.6178533805639453,"[0.6072463437247148, 0.7403567579402464]",-0.44817618,-0.4852125,0.009666375426084738,1730698440.1707633,1730698465.1771731,37
0.638404107298524,0.6199084532374032,"[0.6075747929372555, 0.6692334216597927]",-0.40600482,-0.48092565,0.009657340961125919,1730698466.6607447,1730698490.8238504,38
0.6546692326141806,0.623384531175081,"[0.5985323262380665, 0.7108061389902948]",-0.4199542,-0.44606847,0.009648305556984536,1730698492.3781078,1730698517.5281184,39
0.6048627416449148,0.6215323522220644,"[0.5970859822994329, 0.6126395009903967]",-0.4468049,-0.42051956,0.009639269212585509,1730698519.099968,1730698542.157266,40
0.6610212635351546,0.6254812433533734,"[0.5734252388383084, 0.7486172882320007]",-0.46195027,-0.45875213,0.009630231926851402,1730698543.3238828,1730698567.5078862,41
0.6111791967336044,0.6240510386913966,"[0.5898911577605158, 0.632467235706693]",-0.44577923,-0.39819458,0.009621193698702417,1730698569.0913613,1730698596.7611248,42
0.6809853892914992,0.6297444737514069,"[0.5848809184856055, 0.777089860097393]",-0.44438314,-0.4532535,0.009612154527056398,1730698597.8769987,1730698624.496745,43
0.6713593564785006,0.6339059620241162,"[0.6273880109732979, 0.7153307019837034]",-0.47080612,-0.5014213,0.009603114410828804,1730698626.1526976,1730698651.8126175,44
0.5470304262789332,0.6252184084495979,"[0.5950690459918561, 0.49899180656601033]",-0.43569347,-0.40989506,0.00959407334893272,1730698653.4360998,1730698678.1714776,45
0.6445547348170613,0.6271520410863441,"[0.6223723076134013, 0.6667371620207213]",-0.45878455,-0.37487552,0.009585031340278832,1730698679.5638285,1730698704.374393,46
