mean_fg_dice,ema_fg_dice,dice_per_class_or_region,train_losses,val_losses,lrs,epoch_start_timestamps,epoch_end_timestamps,Epoch
0.0,0.0,"[0.0, 0.0]",0.11964224,0.040582146,0.01,1730697262.624441,1730697327.6325736,0
0.0,0.0,"[0.0, 0.0]",0.01873423,-0.020081254,0.009990999549834914,1730697329.3670478,1730697349.8882864,1
0.17847510369566957,0.017847510369566957,"[0.35695020739133915, 0.0]",-0.048756935,-0.100043945,0.009981998198678612,1730697351.375408,1730697372.1479447,2
0.2058944333287173,0.03665220266548199,"[0.4117888666574346, 0.0]",-0.09992279,-0.13635273,0.009972995945537971,1730697374.1752841,1730697394.524232,3
0.25319938710376544,0.058306921109310336,"[0.5063987742075309, 0.0]",-0.15272887,-0.18665434,0.00996399278941777,1730697396.4955807,1730697417.3525372,4
0.22495797648515256,0.07497202664689456,"[0.4499159529703051, 0.0]",-0.18617484,-0.21253264,0.00995498872932069,1730697419.5416024,1730697440.3136678,5
0.2551665893936947,0.09299148292157458,"[0.5103331787873894, 0.0]",-0.21638928,-0.20941848,0.009945983764247315,1730697441.829015,1730697464.6416676,6
0.27049191171217934,0.11074152580063507,"[0.5288380163394959, 0.0121458070848628]",-0.24375176,-0.25001976,0.009936977893196107,1730697466.7322626,1730697488.2994084,7
0.3335238375844535,0.1330197569790169,"[0.46745547487134115, 0.19959220029756583]",-0.26937392,-0.23565622,0.009927971115163414,1730697490.3651338,1730697511.839885,8
0.3627205931111948,0.1559898405922347,"[0.4872956379092315, 0.2381455483131581]",-0.25667945,-0.26320174,0.009918963429143463,1730697513.7855947,1730697535.137883,9
0.3354534462268734,0.17393620115569858,"[0.4857244765280407, 0.18518241592570608]",-0.2960406,-0.23650798,0.009909954834128341,1730697536.7486167,1730697557.9698215,10
0.37740953271094624,0.19428353431122336,"[0.49575432274538955, 0.2590647426765029]",-0.29535744,-0.26439956,0.00990094532910801,1730697559.5237546,1730697580.871705,11
0.43603862215739825,0.21845904309584085,"[0.5600269681075175, 0.312050276207279]",-0.2885703,-0.3624374,0.00989193491307027,1730697582.8425882,1730697604.5962422,12
0.4201852274510625,0.23863166153136303,"[0.5104058912039866, 0.3299645636981384]",-0.31664842,-0.31743714,0.009882923585000784,1730697606.7750812,1730697628.6012878,13
0.4092505779305561,0.25569355317128234,"[0.5981355784597086, 0.22036557740140358]",-0.32099304,-0.34591493,0.00987391134388305,1730697630.7722714,1730697652.2572393,14
0.4296135190240945,0.2730855497565636,"[0.6003320093729563, 0.2588950286752328]",-0.35073525,-0.3572771,0.009864898188698403,1730697653.9091575,1730697675.2267349,15
0.4520625921930731,0.2909832540002145,"[0.5848928090467734, 0.31923237533937276]",-0.38192475,-0.3747536,0.009855884118426006,1730697677.1451423,1730697699.0102756,16
0.4414199116759915,0.3060269197677922,"[0.6185046190650837, 0.26433520428689933]",-0.37847927,-0.36785388,0.00984686913204284,1730697701.1179924,1730697722.977534,17
0.4794223816600218,0.3233664659570152,"[0.6299890047901449, 0.32885575852989873]",-0.4011276,-0.3923483,0.009837853228523706,1730697724.9843934,1730697746.8146527,18
0.4695375455805356,0.33798357391936723,"[0.6215954751191726, 0.3174796160418987]",-0.41953656,-0.4033751,0.009828836406841207,1730697749.1704993,1730697770.7978783,19
0.4487073483821831,0.3490559513656488,"[0.6267337950082793, 0.27068090175608694]",-0.39540797,-0.36347649,0.009819818665965752,1730697772.4409826,1730697794.0818489,20
0.4641362929505751,0.3605639855241415,"[0.5772383742302465, 0.3510342116709037]",-0.3964185,-0.37844935,0.00981080000486554,1730697796.0267994,1730697817.8522303,21
0.48699213756582693,0.37320680072831003,"[0.6305345267711232, 0.3434497483605307]",-0.39867955,-0.42480063,0.009801780422506557,1730697819.4077132,1730697840.7088013,22
0.4978281267162129,0.3856689333271003,"[0.6219341041235047, 0.37372214930892106]",-0.4202372,-0.41352257,0.009792759917852568,1730697842.258338,1730697863.8825958,23
